index,user_id_maped,program_name,rating,date_,program_genre
797394,26732,Friends     The One With Ross's Wedding Part II,3,2017-04-13,Comedy
797883,26732,Friends      The One With Rachel's ister,3,2017-05-25,Comedy
798372,26732,Friends      The One The Morning After,3,2017-07-17,Comedy
798860,26732,Friends      The One With Phoebe's Husband,3,2017-07-16,Comedy
799332,26732,The Hobbit: The Desolation Of maug,4,2017-03-14,Action
799800,26732,Friends     The One With The Jellyfish,3,2017-04-11,Comedy
800285,26732,Friends      The One With The Football,3,2017-04-10,Comedy
800770,26732,Friends      The One With The Proposal Part I,3,2017-05-25,Comedy
801246,26732,Friends      The One After The uperbowl Part I,3,2017-03-29,Comedy
801724,26732,Friends     The One With The Cake,3,2017-07-27,Comedy
802215,26732,Friends      The One With Frank Jr.,3,2017-05-14,Comedy
